ID,IC,FII,body_part,dry_weight
245,0.375,51,drythor,4.64
245,0.375,51,dryrest,8.81
245,0.375,51,drytotal,13.45
246,0.375,53,drythor,4.86
246,0.375,53,dryrest,8.73
246,0.375,53,drytotal,13.59
247,0.375,61,drythor,5.11
NA,0.375,61,dryrest,8.52
247,0.375,NA,NA,13.63
248,0.375,56,drythor,5.47
248,0.375,56,dryrest,7.89
248,0.375,56,NA,13.36
249,0.25,32,NA,5.69
249,0.25,32,NA,9.05
249,0.25,32,NA,14.740000000000002
250,0.25,46,drythor,4.25
NA,0.25,46,dryrest,8.81
NA,0.25,46,drytotal,13.06
251,0.25,47,drythor,5.23
251,0.25,47,dryrest,7.57
251,0.25,47,drytotal,12.8
253,0.25,32,drythor,5.48
253,0.25,32,dryrest,8.79
253,0.25,32,drytotal,14.27
255,0.25,NA,drythor,6.14
255,0.25,36,NA,7.8
255,0.25,36,drytotal,13.94
256,0.25,46,drythor,5.36
256,0.25,46,dryrest,6.62
256,NA,46,drytotal,11.98
257,0.25,54,drythor,5.57
257,0.25,54,dryrest,6.64
257,0.25,54,NA,12.21
258,0.25,40,drythor,4.42
258,0.25,40,dryrest,4.2
258,0.25,40,drytotal,8.620000000000001
259,0.25,25,drythor,5.44
259,0.25,25,dryrest,NA
259,0.25,25,drytotal,17.69
260,0.25,35,drythor,NA
260,0.25,35,NA,9.6
260,0.25,35,drytotal,14.489999999999998
261,0.25,25,drythor,6.1
261,0.25,25,dryrest,9.33
261,0.25,25,drytotal,15.43
262,0,49,drythor,5.26
262,0,49,dryrest,9.35
262,0,49,drytotal,14.61
263,0,30,drythor,4.1
263,0,30,NA,4.26
263,0,30,drytotal,8.36
264,0,48,drythor,5.01
264,0,48,dryrest,9.21
264,0,48,NA,14.22
265,0,26,drythor,4.73
265,0,26,dryrest,9.6
265,0,26,drytotal,14.33
NA,0,42,drythor,4.25
266,0,42,dryrest,6.05
266,0,42,drytotal,10.3
267,0,33,drythor,4.25
267,NA,33,dryrest,7.44
267,0,33,drytotal,11.69
268,0,NA,drythor,4.45
268,0,67,dryrest,7.15
268,0,67,drytotal,11.6
269,0,45,drythor,4.97
269,0,45,dryrest,6.77
269,0,45,drytotal,NA
270,0,11,drythor,6.45
270,NA,11,dryrest,7.81
270,0,11,drytotal,14.26
271,NA,34,drythor,6.3
271,0,34,dryrest,6.31
271,0,34,drytotal,12.61
272,0.25,54,NA,5.12
272,0.25,54,dryrest,7.68
272,0.25,54,drytotal,12.8
273,0.25,65,drythor,5.16
273,0.25,NA,dryrest,7.71
273,0.25,65,drytotal,12.87
274,0.25,53,drythor,5.71
274,0.25,53,dryrest,10.95
274,NA,53,drytotal,16.66
275,0.25,45,drythor,6.61
275,0.25,45,dryrest,7.14
275,0.25,NA,NA,13.75
276,0.25,27,drythor,5.44
276,0.25,27,dryrest,9.02
NA,0.25,27,drytotal,14.46
277,0.25,45,drythor,5.54
277,0.25,NA,dryrest,6.34
277,0.25,45,drytotal,NA
278,0.25,27,drythor,5.13
278,0.25,27,dryrest,7.35
278,0.25,27,drytotal,12.48
279,0.25,NA,drythor,5.33
279,0.25,22,dryrest,8.78
279,0.25,22,drytotal,14.11
280,0.25,NA,drythor,5.69
280,0.25,48,dryrest,10.52
280,0.25,48,drytotal,16.21
281,0.25,44,drythor,5.23
281,0.25,44,dryrest,10.3
281,0.25,NA,drytotal,15.53
282,0.25,74,drythor,6.14
282,0.25,74,dryrest,NA
282,0.25,74,drytotal,17.75
285,0.25,47,drythor,NA
285,0.25,47,dryrest,8.23
285,0.25,47,drytotal,13.24
286,0.375,58,drythor,4.92
NA,0.375,58,dryrest,7.22
286,0.375,58,drytotal,12.14
287,0.375,31,drythor,6.28
287,0.375,31,dryrest,9.16
287,0.375,NA,drytotal,15.44
288,0.375,31,NA,5.66
288,0.375,31,DRYREST,7.1
NA,0.375,31,drytotal,12.76
289,NA,NA,drythor,5.42
289,0.375,47,dryrest,NA
289,0.375,47,NA,14.77
290,0.375,45,drythor,4.62
290,0.375,45,dryrest,6.26
290,0.375,45,drytotal,10.88
291,0.375,36,drythor,4.92
